swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:000004a39d55ed54c7f7d4879ef8dc8925724274,982a0e70f12f2377476132296961915f7e106c02,2133,98,IjModuleTest.java,intellij/IjModuleTest.java
swh:1:cnt:000004a5cdb5ef2cfa4ca9bd074f6c49d5851195,89f1a84c01e93733fa6d8f2f223edb17957dd022,3000,89,transitionmngr_p_push.cpp,transitionmngr/transitionmngr_p_push.cpp
swh:1:cnt:000004a638e3b3a273ece0d08ebfabca2763ea1e,2c270f726f972036830f15e4279699bba48d5e99,1102,2c,MessageEvent.class,debug/MessageEvent.class
swh:1:cnt:000004a7adec5ca9e0f29c79954485821740038a,22a79977fbca4948c50c15c3262d43bb77b3461e,344994,22,main.js,dist/main.js
swh:1:cnt:000004ac0a626d0ed2d65f94308278005048e913,1b8120966a2605f749136b5d459fff8b0405c8ad,1188,1b,control.vp8,video_VideoDecodeAccelerator/control.vp8
swh:1:cnt:000004b3faef4aeb24d24db33a73ab28150192f0,84f907501ed16b109949af3c03a2bca104fc7116,3449,84,626882.json,626882.json
swh:1:cnt:000004b7726b6bdc28aaa1298d17f73b12cd26b8,4f02a6994293172c4c66114f0a368c73c7f67a65,2130,4f,stars.dat,gallery-css/stars.dat
swh:1:cnt:000004c148ede21c1e5eb301bc5a716e395a1f40,a91d64119be98d6b1f5ffbdc78191aa733bb0cc5,4329,a9,dc07986c0efac4745a2590439ccbc161,dc/dc07986c0efac4745a2590439ccbc161
swh:1:cnt:000004c5ec4da0e74aea66b4cf0385fe26d01e3e,a536f825795d4707bf271ea5b1e8570ecee24428,939942,a5,5MW_OC4Jckt_DLL_WTurb_WavesIrr_MGrowth.out,linux-intel/5MW_OC4Jckt_DLL_WTurb_WavesIrr_MGrowth.out
swh:1:cnt:000004cb083ad14f145c7094bd45cea084c25f06,2d8bce0912c24fecec9ec07115fc7d4c9078255c,8443,2d,proxy.txt,proxy.txt
swh:1:cnt:000004d71823e99905394c23d59fb6735dd6e6b3,e8267ba738a803d6237eed14b246a396cdba04d4,65632,e8,eswitch.c,core/eswitch.c
swh:1:cnt:000004daaadd2669eb779220a8d9753150bc9395,31a881540e440c87331dc2e57066027e9b637d8b,6060,31,GormUtils.groovy,tools/GormUtils.groovy
