swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:0004f9ac84d9bd371d37b53322002f2ceb58caab,4226adc44ce7d3591a59233018fb65d3c8311542,1885,42,todo_views.py,views/todo_views.py
swh:1:cnt:0004fa16081ad5cdfd48fd2d35127aba00b6aa79,5428626a6b0d752b216d50d1c86f32367f663ae1,17638,54,pywerview.py,pywerview.py
swh:1:cnt:0004faad54178bdd864e5219dc88791bdb0de489,45a31206ea189b2881b469bb2b230ec46ba757db,5217,45,Phase3.py,testngppgen/Phase3.py
swh:1:cnt:0004fb8b38016ff5b839e3cbd95412e1b2346bd6,49e7d41205dd2eb3281cb44e05c087170bd2348c,13619,49,api_views.py,securesync/api_views.py
swh:1:cnt:0004fc339d237ea8425552aad29bbc7aa45063f0,8e9cb955bc5450f8cb3a7d78f1241e1bb4f06150,1583,8e,_params.py,consumption/_params.py
swh:1:cnt:0004fc5ee80959f491f18e7d09bfa25d443aa336,cb4373198e851db9dd587e7367b04f6455658088,1744,cb,views.py,s3direct/views.py
swh:1:cnt:0004fd0e7106f8274484146bf4d79dca099c10eb,14d70ac074e4289a76bbb14bef1305fe9e193ff3,856,14,Longest-Increasing-Path-In-A-Matrix.py,0329.Longest-Increasing-Path-In-A-Matrix/Longest-Increasing-Path-In-A-Matrix.py
swh:1:cnt:0004ff08d9eb5f8ba0ee1ccd7a50f6ae83791548,4c4fb278093adb02fd7840dbfd8e0202b4622521,2954,4c,githubsource.py,github/githubsource.py
swh:1:cnt:0004ff53eccdbfcbab81fd50c3205d9bd8088460,1e7c79b158f8bda8b015f4ffa57f58f53c8c7631,2149,1e,SaveSingleTaskForModifyingDSRecordRequest.py,v20171218/SaveSingleTaskForModifyingDSRecordRequest.py
swh:1:cnt:0004ff9c1d1764f987dfda5f95edee920c757f63,0a89e00bb161e34740cb086b7272532d360b2743,33342,0a,purchase.py,models/purchase.py
swh:1:cnt:0004ffd522d72306bb978d80ee756b4dad544251,12647ac3ca3cd1692dc2ee55c3413c1e79b0ec26,64547,12,model_fold.py,src/model_fold.py
swh:1:cnt:00050091ff6da0413af27d436d1099b9f0b28c4e,17881b0fceab242431f792c45f236939c185fd67,3525,17,genBytecodeCoverage.py,bin/genBytecodeCoverage.py
swh:1:cnt:0005013cd1dc0d65783812b91094202a46b050c1,3206d1bcdd09d0e67cfb3a638c56947306b2edbb,2971,32,test_fts_parser_add.py,tests/test_fts_parser_add.py
swh:1:cnt:000502a1435c17f8860a8fc13851ff830f14d438,aeb9fb2a942eebf98492518c941426920f711035,1647,ae,pos.py,scannable/pos.py
swh:1:cnt:000502b4ffc9bb8986f6b40b44965cb6a67cf139,3dca0c52bb9533de63a728b7c48d2019fa8fbe99,5675,3d,pusher.py,storage/pusher.py
swh:1:cnt:000502c68798d7486066c0d8fbe0dcc4f7ae2097,ef09bfcba5c9ae4b95e0b860885c0432ff69d2b9,1480,ef,toml_config.py,config/toml_config.py
swh:1:cnt:000502f95d39f89935944b9c3f30adba61b6c838,00e51689fefe9105412f4387c12918c8c6198b37,11795,00,network.py,model/network.py
swh:1:cnt:0005038d4d10d392246d6e2bc17778374cc523d7,7c302a56f733254671514a1233881e254c5e43ef,7989,7c,baseplugin.py,common/baseplugin.py
swh:1:cnt:0005044b67600b23b29164a840190395b89cced5,07aa42884363a3b7b1af32c87b7f63660ab3ad0e,59481,07,style.py,widgets/style.py
swh:1:cnt:0005057477e69a78248e87c1785dbe9bf87b39af,24ae5b59b07924f219b40cc275e8b0cdc016d31e,1493,24,controlpanel.py,control/controlpanel.py
swh:1:cnt:00050686171babc0b444a1862dbca28d2ba00de7,914d70469479bcef0092df4b089f10a71b3bc1ec,67931,91,unicodehelper.py,interpreter/unicodehelper.py
swh:1:cnt:000506a89973d83470ca5b052a27d293067f69ba,0662be37f29be4c9bfc8bf1817dd5e831914309f,8239,06,tar.py,plugins/tar.py
swh:1:cnt:0005077aee6b8ad13202c988ecfe480aaa810836,7729608ee4ce7345790a867dea9d2298cad4bda7,6154,77,value_assertions.py,test_resources/value_assertions.py
swh:1:cnt:000508081f208980f8e5c33dfb2d4f299b4c7bbf,d8c2550b1deb9f1c50966127d210ec116a2f5069,19122,d8,ingamegui.py,gui/ingamegui.py
swh:1:cnt:0005091d23cf8d351194f4f6e34f4ed6e2e8ff0e,0bcc47bcd74402c53a32b33e945c21b1467ceb3f,6954,0b,c20.py,c20/c20.py
swh:1:cnt:00050979a71822ced61e40c22bbbe9c50305bb5e,65e640ea39ffc1edfa9bcd803aad5f002bc7c37d,19335,65,cutstrings.py,configs/cutstrings.py
swh:1:cnt:000509ca31d7e768a1cb59cd81cf9d998010e593,50d60882066dd51491ca6a3dfba4df3c5c8f6923,31094,50,pop_input_data.py,pop_input_data.py
swh:1:cnt:00050a3bcba4b9b575670fcbebc2dd3673dab756,7bdbbe712345ffd2a95f8ea80ff230ff5b1c4e8f,28122,7b,gregoriantime.py,time/gregoriantime.py
swh:1:cnt:00050a4b89a2dcab724087028e0c473c72d426b0,f82d3c67902223e45b1b5767d8e4bd3e96e2d1bd,6933,f8,benchmark.py,benchmark/benchmark.py
swh:1:cnt:00050a637a1553714d79125e3d5f151bec9a49c8,0633e89a3250fcb88130ffef6b0ed787e522dfcd,15040,06,github.py,enriched/github.py
swh:1:cnt:00050a6b27fb269e6595cbe0985f0d0d8cbb0c8a,80a4fd443bf582ba637a5e2fe0c613af5e5d7bf2,16516,80,Battle.py,src/Battle.py
swh:1:cnt:00050b24907bb15884ada53837217d8b473376e5,e8c5dc0e76489e62f8085a825ada6c21eb210b60,4068,e8,Configuration.py,RichDigiSys/Configuration.py
swh:1:cnt:00050b6ac46f7e39f993a675391a2369cd17316d,4f252ccbc6223e999eb68c01b0289f0287ad3629,55839,4f,manager.py,compute/manager.py
swh:1:cnt:00050bf0cf180ae380757f36e7995976f1978ea3,fb12b513b2908152b1015f2182a75cba945978f1,4983,fb,configGEN4UW.py,configs/configGEN4UW.py
swh:1:cnt:00050c72ad7bb861c3746ba3bb50d7d043d91a5b,021c1f447c68f76e54c4b4820b8a6e9104011589,4082,02,settings.py,dkobo/settings.py
swh:1:cnt:00050c973a603e2e6802d0c060f41d5e6801d1c3,9116fed37e9000695d449a4ee4d6bedb910990fe,69476,91,product.py,models/product.py
swh:1:cnt:00050d1f42053bec8f0f3911950092b6826a92f1,6bbf2f63e87126675af5066860a05348ce92facb,3053,6b,run_analyze.py,vision_analyze/run_analyze.py
swh:1:cnt:00050ded3190e3e64a1b27b7196617febe855886,edbf048a430154734d303820b1492d00a44eb734,4362,ed,tag.py,mediadb/tag.py
swh:1:cnt:00050e193ca8ba206045c47d0661f2539a24761c,16bded1923e3adb7c5c6c6ab5a00f92322cb4464,109941,16,methods_spectral.py,adex_comparison/methods_spectral.py
swh:1:cnt:00050f256a5bdf5ac9165a1d01f9d261c8afa14b,896509897d0d3202bfdaba1ce87971176c9306df,129136,89,function.py,nutils/function.py
swh:1:cnt:00050f7edd60f0692fd2409586d3eb248dbf1a49,d54e5c01dc362e099b331645f6cc95b91f7527d0,1959,d5,vk_listener.py,vk/vk_listener.py
swh:1:cnt:00050f7fb3e5bcd63348cf173089d978991f28d8,dec62dcc54f326ea0789a73cd8ca55a5986bc32e,47254,de,text.py,feature_extraction/text.py
swh:1:cnt:00050fb16d8e02bd4d86c4314ed6d8dd3181134a,8bfba15cdc60ba61ef8948003e521a274df0082a,6870,8b,web_login_cmd.py,web/web_login_cmd.py
swh:1:cnt:000510acaaf16178ba5cfff786dd6f3c8a5c08be,3a99da0c25ef6927bb717f5cb960d075a4ce831c,7340,3a,Shellcodes.py,shellcodes/Shellcodes.py
swh:1:cnt:0005115d382700817f271a23d5af2f48a6ed30c2,2cbcffd148db774942a113fa38b31ac9bc2a47eb,7767,2c,text_parser.py,text/text_parser.py
swh:1:cnt:000511db8944916e9b782b6308a52d986d14657d,1eec4707add1eacd4f703e85866d0ed1bb2fc28c,2990,1e,test_products_api.py,integration/test_products_api.py
swh:1:cnt:000511e0c719a5b68b421225138811f5693ba6ba,dfbcb88028a01acaea0e37aa41736680c69787fd,51776,df,openssh.py,utils/openssh.py
swh:1:cnt:0005134326e0bd2a773d4e29515cc6c05b6706ee,b78ec103e6cb86ca6735ed655d1f8a26f1aadd63,1059,b7,test_dv3d_vectors.py,Test/test_dv3d_vectors.py
swh:1:cnt:000514bf4fbc386ec523c2488f8fdfb43068b698,7c8012e441029247a3b7ba281aef247c6440ce1e,4235,7c,portage_update.py,pym/portage_update.py
swh:1:cnt:000514cfa2279554640cf81018f4206d4dcb7689,03f74bcd9de843af8b585d64fc7fac8f8a724c2d,694,03,SndlhcGeo.py,python/SndlhcGeo.py
swh:1:cnt:0005156b7ebd1748c37d04a2bffd35398df05649,fddf844d523e10526a26ccb4392e6cc5cc730175,77065,fd,health.py,health/health.py
