swhid,file_id,length,local_path,filename,filepath
swh:1:cnt:00039d7a1dbbbb2a85fbd697824b78482278124b,65c388620f1dbe02580fdfa2bf1849189b93c861,39,65,non-static.c,lto-duplicate_symbols/non-static.c
swh:1:cnt:00039d9613aad19b21023067f23292a4a52c0c5b,72234b674a77e15b257e22940393c2f55cd94c61,11295,72,Configuration.cxx,rfb/Configuration.cxx
swh:1:cnt:00039df8a0354975e0c82a9f77b32ef55b369fbc,1f4fc7acddf734e15fb6919fe5c3d447ae9f4737,3168,1f,ucln_cmn.c,common/ucln_cmn.c
swh:1:cnt:00039e15a6095adae17be8fbd991c93d5a3faed5,cffa2acdac004e46398aab8e665bb958b14da9c0,2458,cf,testcensus.h,census/testcensus.h
swh:1:cnt:00039e5de49c9d449da76a0cbcb7b1772037d9c2,c2e037875affd3f2064254b5fc5b2088501a3458,4599,c2,clientsocket.c,citadel/clientsocket.c
swh:1:cnt:00039eb34c34dbade97677ae7ed2f4db89047052,01e62b06da40b1b38be285fbb37f867d090e422d,243645,01,salvtables.cxx,app/salvtables.cxx
swh:1:cnt:00039ee51afe7e97426f8f5bba39aea6ed8feee2,baf06823fee82d26ff4c1e74b67be37cad054a21,30091,ba,http.h,cups/http.h
swh:1:cnt:00039f0346a4725ccda587f06188dfe960cb877a,e50c41d8e297104748fc09985797e228149dc99f,437,e5,atom_main_args.cc,app/atom_main_args.cc
swh:1:cnt:00039f25a7e92821cd1d939e45fcd89c14a5d6e3,1515ac2187aa45879773c3e89472bdf9037768ae,16245,15,i4b_isic_pnp.c,layer1/i4b_isic_pnp.c
swh:1:cnt:00039f53542bb97a305715f599d0ebbfc0e9a93b,99d585021e92c0f2d37e00477f36301100c7ff74,22668,99,context_switch_time.cpp,Misc/context_switch_time.cpp
swh:1:cnt:00039f5919772237a5aefd90a12f4c1cc3672e52,9005510f7ca610142f85d8c8bd6e140ea844c9e7,1646,90,dock_metadata.cpp,panels/dock_metadata.cpp
swh:1:cnt:00039f7213a8deb932feee14aa838253526d0c12,3bd683cf0f6d4b650e3dd446edf88d6a264c4040,3613,3b,features_parser.cc,src/features_parser.cc
swh:1:cnt:00039f90b035cc53e04e57131c97b427e3409c6b,83a08f865e1681868f184caa35bb3bd5329e1b52,36318,83,generaldeclarations.h,models/generaldeclarations.h
swh:1:cnt:00039faaa9d42ea08ecef9f17b1e0eb40e565eb9,322cb10b4bacfada5711047b46f4e98bacd86b53,44131,32,fmgr.c,fmgr/fmgr.c
swh:1:cnt:0003a0059476fa72245404983c4a891e8af1ea39,20170ec764717264d5a4d022646deb0442a50345,36181,20,conv_grad_filter_ops.cc,kernels/conv_grad_filter_ops.cc
swh:1:cnt:0003a03e30794584f07006d4cabff7478fa574ed,7badca911265939046b01b1fcbef15ea99f352c5,741,7b,IntPower.cpp,IntMultipliers/IntPower.cpp
swh:1:cnt:0003a05aec365ce94ceaa95e6b48c859ec0a8dac,60ee880d304e73f2b8f68a2d9df20ae86149922d,6638,60,Tri6.h,include/Tri6.h
swh:1:cnt:0003a060899704c2974fc49a294e23c4ea49d334,6771f73e7a6a5d7583ca42a9ac43048491c28c1c,2584,67,stm32_pwr.h,hardware/stm32_pwr.h
