item,rank,stars,forks,language,repo_url,repo_size (MiB),blob_objects,avg_blob_size (KiB),description,repo_name,last_commit,cum_sum
Python,67,21155,706,Python,https://github.com/microsoft/cascadia-code,124.0,36576.0,3.4715352696696606,"This is a fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal.",cascadia-code,017bde551af6af419cc5554c37bbdffa4f9388ed,20153.290000000005
Python,68,20943,3504,Python,https://github.com/sebastianruder/NLP-progress,8.58,867.0,10.136178092560554,"Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks.",NLP-progress,8ad2a583c2a9ea61be512221a8eb740d0c65c57e,20161.870000000006
Python,69,20909,1877,Python,https://github.com/streamlit/streamlit,747.35,26662.0,28.70344017966816,Streamlit — The fastest way to build data apps in Python,streamlit,eba9381d09e768bcd21d8a91ebf4b9b0d5a17332,20909.220000000005
Python,70,20857,2631,Python,https://github.com/Z4nzu/hackingtool,3.6,217.0,16.984915034562214,ALL IN ONE Hacking Tool For Hackers,hackingtool,6bc9d34be87368dbcfef0f244bdd6615b5a39e10,20912.820000000003
Python,71,20669,1839,Python,https://github.com/charlax/professional-programming,18.68,416.0,45.987292949969955,A collection of learning resources for curious software engineers,professional-programming,a7505e25b42a34cc24a68ceee5e9a52f4481b580,20931.500000000004
Python,72,20598,2283,Python,https://github.com/deezer/spleeter,16.75,834.0,20.568600588279377,Deezer source separation library including pretrained models.,spleeter,bdc27726412dd296ae9d51434db402675565d129,20948.250000000004
Python,73,20512,1895,Python,https://github.com/google/jax,1317.18,24137.0,55.880506166621785,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",jax,9cabd227d7d505c393467688024d64d7bf9d5a86,22265.430000000004
Python,74,20250,2614,Python,https://github.com/Lightning-AI/lightning,883.96,32544.0,27.813958572192647,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling DIY infrastructure, cost management, scaling, and other headaches.",lightning,c04e1cdf670798a9d39d9026a8941bb4feae87d8,23149.390000000003
Python,75,19895,2568,Python,https://github.com/locustio/locust,97.92,5888.0,17.029831264329992,Scalable user load testing tool written in Python,locust,f76c1822be846781ac71b2d6d3d1cf4632cf27f0,23247.31
Python,76,19860,4374,Python,https://github.com/python-telegram-bot/python-telegram-bot,165.61,13247.0,12.801422536116668,We have made you a wrapper you can't refuse,python-telegram-bot,1c20ff3fb959d035dd77a8dcd3ae8c162017aa71,23412.920000000002
Python,77,19588,1398,Python,https://github.com/drduh/macOS-Security-and-Privacy-Guide,39.92,465.0,87.91455393145161,Guide to securing and improving privacy on macOS,macOS-Security-and-Privacy-Guide,833404ca73e50b8db5ce69ac81d499744643870a,23452.84
Python,78,19381,4898,Python,https://github.com/facebookresearch/fairseq,97.67,8531.0,11.724088755348141,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,fairseq,b4001184f49ed0e20d619b54bb3d43088fabf990,23550.51
Python,79,19323,7509,Python,https://github.com/vnpy/vnpy,1178.04,12413.0,97.18150373474381,基于Python的开源量化交易平台开发框架,vnpy,d1e5e703bee0b41c69ebf8883c7fe0e5ccf29273,24728.55
Python,80,19029,8883,Python,https://github.com/pytorch/examples,49.6,1103.0,46.0494974643019,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",examples,ca1bd9167f7216e087532160fc5b98643d53f87e,24778.149999999998
Python,81,18477,5502,Python,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,13.43,1026.0,13.406237626401072,Image-to-Image Translation in PyTorch,pytorch-CycleGAN-and-pix2pix,d5e62dd021d51b042ee3228d36bf2a41dedfb8cb,24791.579999999998
Python,82,18468,5600,Python,https://github.com/heartexlabs/labelImg,26.17,773.0,34.67242707996442,"LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer actively being developed, but you can check out Label Studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data.",labelImg,b33f965b6d14c14f1e46b247f1bf346e03f2e950,24817.749999999996
Python,83,18147,1737,Python,https://github.com/cookiecutter/cookiecutter,33.56,4231.0,8.1221296309974,"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects.",cookiecutter,cf81d63bf3d82e1739db73bcbed6f1012890e33e,24851.309999999998
Python,84,17961,1820,Python,https://github.com/luong-komorebi/Awesome-Linux-Software,178.01,1349.0,135.1211292218773,"A list of awesome applications, software, tools and other materials for Linux distros. ",Awesome-Linux-Software,5e78607f7c26b5ec0f0b2431830261415fee821f,25029.319999999996
Python,85,17935,3669,Python,https://github.com/magenta/magenta,191.81,8218.0,23.90095876144591,Magenta: Music and Art Generation with Machine Intelligence,magenta,c7b07cb5f9d18111d0d64e18f2ad2ba3167f7182,25221.129999999997
Python,86,17115,1770,Python,https://github.com/OpenBB-finance/OpenBBTerminal,1292.21,24812.0,53.330059587157926,"Investment Research for Everyone, Anywhere.",OpenBBTerminal,4b4e86ad3be89397c7a49ecc0e75144cfd74d2c6,26513.339999999997
